,lemma,Polarity
467,algarada,-0.375
468,algodón_hidrófilo,-0.25
469,algofóbico,-0.75
470,algolágnico,-0.25
471,algoritmo,0.25
472,alguacil,-0.312
473,alguien,0.25
474,alguna_parte,-0.375
475,alguno,0.25
476,algómetro,-0.5
477,algún_lugar,-0.375
478,aliado,0.25
479,aliciente,0.438
480,aliento,0.313
481,alifafe,-0.375
482,aliforme,0.25
483,alifático,0.25
484,aligerar,0.5
485,aligerarse,-0.25
486,alimenticio,0.625
487,alimento_probiótico,0.25
488,alineado,0.275
489,alistado,0.25
490,aliviado,-0.333
491,aljófar,-0.375
492,allegro,0.375
493,allegro_con_spirito,0.5
494,allium_porrum,-0.25
495,allium_vineale,-0.25
496,allunyat,0.375
497,allá,0.375
498,alma_gemela,0.25
499,almendra_garrapiñada,-0.25
500,almohada,0.25
501,almorranas,-0.375
502,alocado,-0.2915
503,alopecia_areata,-0.25
504,alopécico,-0.5
505,alpende,-0.375
506,alpenstock,0.25
507,alquilable,0.5
508,alta_fidelidad,0.313
509,alta_traición,-0.25
510,altanero,-0.375
511,alterado,-0.375
512,alterar,-0.321
513,altercado,-0.531
514,alteridad,-0.25
515,alternado,0.25
516,alternante,0.25
517,alterne,0.25
518,alterno,0.25
519,alteza,0.25
520,altilocuente,0.5
521,altivez,0.25
522,altiveza,0.25
523,altruista,0.3125
524,altruísta,0.375
525,alucinación,-0.375
526,alucinado,0.25
527,alucinante,0.375
528,alucinógeno,0.25
529,alzado,0.25
530,alzaválvulas,-0.25
531,amabilidad,0.547
532,amable,0.688
533,amado,0.5
534,amaestrado,0.375
535,amaestrar,0.375
536,amalgamado,0.5
537,amalgamativo,0.25
538,amamantar,0.375
539,amanecida,0.25
540,amanita_mappa,-0.375
541,amar,1.0
542,amargado,-0.375
543,amargo,-0.375
544,amargor,-0.25
545,amargura,-0.5
546,amarillento,0.25
547,amarillo,0.375
548,amarillo_canario,0.375
549,amateur,0.25
550,amatista,0.375
551,amativo,0.25
552,amaurosis,-0.25
553,amaurótico,-0.25
554,amañar,-0.3
555,ambidiestro,0.4375
556,ambientalista,-0.25
557,ambiguo,-0.312
558,ambivalencia,0.375
559,ambivalente,0.375
560,ambliopía,-0.375
561,ambrosiaco,0.375
562,ambrosíaco,0.375
563,ameliorar,0.5
564,amenaza,-0.437
565,amenaza_de_aborto,-0.375
566,amenazado,-0.25
567,amenazador,-1.0
568,amenazadoramente,-0.312
569,amenazar,-0.275
570,amencia,-0.75
571,amenidad,1.0
572,ameno,0.75
573,amenorreico,-0.25
574,amentífero,0.5
575,ametista,0.375
576,ametralladora_thompson,-0.25
577,amigabilidad,-0.25
578,amigable,0.542
579,amigdala_cerebral,0.25
580,amigdalina,-0.25
581,amigo_por_correspondencia,0.375
582,amilanamiento,-0.375
583,amiloidosis,-0.375
584,aminoración,-0.25
585,aminorado,-0.5
586,amiodarona,-0.25
587,amistoso,0.708
588,amnesia,-0.25
589,amnesia_retrógrada,-0.5
590,amniocentesis,0.25
591,amnésico,-0.625
592,amnéstico,-0.25
593,amo_de_la_casa,0.25
594,amoblar,0.25
595,amonestaciones,0.25
596,amonestar,-0.3
597,amonítico,-0.25
598,amor,0.278
599,amor_fraternal,0.375
600,amor_libre,0.25
601,amorfo,-0.25
602,amoroso,0.625
603,amortecerse,-0.625
604,amortecimiento,-0.25
605,amotinado,0.25
606,amotinador,0.375
607,amotinamiento,-0.25
608,amotinarse,-0.375
609,amovible,0.5
610,ampliamente,0.313
611,amplio,0.393
612,ampollar,-0.875
613,ampulosidad,-0.437
614,ampuloso,-0.375
615,amueblado,0.25
616,amárico,0.25
617,amétrope,-0.25
618,anabaptismo,0.25
619,anabolismo,0.25
620,anacantos,-0.25
621,anaclisis,0.25
622,anacoreta,0.375
623,anacorítico,0.5
624,anadeo,-0.25
625,anaerobio,0.375
626,anaeróbico,0.375
627,anafrodisia,-0.25
628,anagógico,0.25
629,analfabetismo,-0.5
630,analfabeto,-0.417
631,analgesia,-0.375
632,analgia,-0.375
633,analgésico,0.0
634,analgético,0.25
635,analizable,0.25
636,analizado,0.25
637,analizador_diferencial,0.25
638,analéptico,0.375
639,anamorfismo,0.25
640,anaplasia,-0.25
641,anaplásico,-0.25
642,anaplástico,-0.25
643,anaranjado,0.375
644,anarquía,-0.5
645,anasarcoso,0.25
646,anastomus,-0.25
647,anatematizar,-0.5
648,anatomista,0.25
649,anatomía_aplicada,0.25
650,anatomía_clínica,0.25
651,anatómicamente,0.25
652,anatómico,-0.25
653,anchura,0.292
654,andanada,-0.437
655,andante,0.25
656,andesita,-0.375
657,andrajo,-0.25
658,androfobia,-0.25
659,anejo,0.438
660,anemia,-0.375
661,anemia_perniciosa,-0.375
662,anestesia,-0.5
663,anestésico,-0.3125
664,anestésico_total,-0.25
665,anexo,0.344
666,anfipróstilo,0.375
667,anfiprótico,0.375
668,anfípodo,0.375
669,anfótero,0.375
670,angelical,0.583
671,angina_de_pecho,-0.25
672,anginal,-0.5
673,anginas,-0.375
674,anginoso,-0.5
675,angiopatía,-0.25
676,angioplastia,-0.25
677,anglofilia,0.625
678,anglofobia,-0.625
679,anglohablante,0.25
680,angloparlante,0.25
681,anglófobo,-0.25
682,angurria,-0.25
683,angustia,-0.589
684,angustia_mental,-0.625
685,angustiado,-0.65
686,angustiar,-1.0
687,angustiosamente,-0.75
688,angustioso,-0.5
689,angélicamente,0.25
690,angélico,0.375
691,anhidrosis,-0.25
692,anieblarse,-0.25
693,animación,0.25
694,animadamente,0.25
695,animado,0.494
696,animadversión,-0.5
697,animal,0.25
698,animal_colmilludo,0.25
699,animal_doméstico,0.25
700,animal_en_cautividad,0.25
701,animales,-0.25
702,animar,0.289
703,animarse,0.25
704,aniquilación,-0.5
705,aniquilado,-0.375
706,aniquilador,-0.3125
707,aniquilamiento,-0.5
708,aniñado,0.375
709,anión,-0.25
710,aniónico,-0.25
711,anodino,-0.375
712,anonadar,-0.312
713,anopía,-0.25
714,anorexia,-0.25
715,anosmia,-0.333
716,anosmático,-0.25
717,anotador,0.25
718,anovulación,-0.25
719,anoxemia,-0.25
720,anoxia,-0.25
721,anquilosis,-0.5
722,ansiosamente,-0.5
723,antagonista,-0.312
724,antagonizar,-0.5
725,ante-mortem,-0.5
726,antebrazo,0.25
727,antecocina,-0.375
728,antena_yagi,0.25
729,antender,0.375
730,anteojos,-0.25
731,antheraea,0.375
732,anthonomus,-0.25
733,antiadherente,0.375
734,antiautoritario,0.25
735,antiaéreo,0.0
736,anticipador,-0.375
737,anticiparse,0.25
738,anticlimático,0.25
739,anticuario,0.25
740,antideportivo,-0.25
741,antiestético,-1.0
742,antifonal,0.25
743,antifonario,0.25
744,antihelmíntico,0.625
745,antihigiene,-0.25
746,antihigiénico,-0.375
747,antiintelectual,-0.312
748,antimacasar,-0.25
749,antimicrobiano,0.625
750,antimonopolio,0.5
751,antipatriótico,-0.75
752,antipatía,-0.542
753,antipirético,-0.25
754,antiprotón,-0.375
755,antipático,-0.0415
756,antisemitismo,-0.25
757,antisocial,-0.25
758,antisubmarino,-0.25
759,antiséptico,0.5
760,antitanque,0.25
761,antitóxico,0.375
762,antiácido,0.375
763,antiápex,0.25
764,antracita,-0.375
765,antracosis,-0.375
766,antracítico,-0.25
767,antro,-0.25
768,antropofagia,0.375
769,antropomórfico,0.25
770,antroposofía,0.25
771,antílope,0.25
772,antípoda,0.25
773,antítesis,0.25
774,anual,0.25
775,anuencia,0.313
776,anuresis,-0.25
777,anuria,-0.25
778,anurético,-0.375
779,anverso,0.25
780,análisis_metodológico,0.25
781,análisis_volumétrico,0.25
782,análogo,0.292
783,anómalo,-0.25
784,anósmico,-0.312
785,anóxico,-0.25
786,aojar,-0.25
787,aojo,-0.25
788,apacible,0.313
789,apaciguable,0.625
790,apaciguador,0.5
791,apaciguarse,0.375
792,apadrinamiento,0.25
793,apagado,-0.25
794,apalear,-0.312
795,aparato_acústico,0.375
796,aparatosidad,-0.75
797,apareado,0.5
798,aparentar,-0.375
799,aparente,0.25
800,apartadero,-0.25
801,aparte,-0.25
802,apasionado,0.469
803,apasionamiento,0.25
804,apasionante,0.5
805,apatía,-0.469
806,apechar,-0.625
807,apegado,0.75
808,apego,0.375
809,apelable,0.25
810,apelante,-0.5
811,apenado,-0.458
812,apenar,-0.281
813,apenarse,-0.875
814,apenas,-0.312
815,apesadumbrado,-0.5
816,apestar,-0.375
817,apestoso,-0.917
818,apetecido,-0.25
819,apetencia,-0.25
820,apetitivo,-0.25
821,apetitoso,0.292
822,apical,0.375
823,aplacable,0.375
824,aplacamiento,0.469
825,aplanético,0.5
826,aplastarse,-0.375
827,aplaudir,0.625
828,aplauso,0.458
829,aplicabilidad,0.375
830,aplicable,0.5
831,aplicado,0.5
832,aplicarse,0.25
833,aplomar,0.25
834,apocado,-0.292
835,apocalipsis,-0.5
836,apocalíptico,-0.437
837,apocamiento,-0.406
838,apocar,-0.687
839,apocarse,-0.375
840,apocromático,0.25
841,apocárpico,0.375
842,apodar,0.25
843,apoderamiento,0.25
844,apodíctico,0.5
845,apogámico,-0.25
846,apolar,-0.25
847,apología,0.333
848,apoplejía,-0.375
849,apoptosis,-0.25
850,aporreo,-0.25
851,apostatar,-0.25
852,apoyabrazos,0.25
853,apoyado,0.5
854,apoyo_logístico_integrado,0.25
855,apoyo_logístico_internacional,0.25
856,apreciable,0.25
857,apreciado,0.875
858,apreciar,0.375
859,aprecio,0.344
860,aprehensión,-0.312
861,aprehensión_inmediata,-0.375
862,aprendido,0.5
863,aprensivo,-0.375
864,aprensión,-0.312
865,apresamiento,-0.25
866,aprestar,0.25
867,aprestarse,0.25
868,apresurado,0.25
869,apretura,-0.625
870,aprieto,-0.625
871,aprisionamiento,-0.375
872,aprisionar,-0.25
873,aprobación,0.359
874,aprobado,0.5625
875,aprobar,0.375
876,aprobar_formalmente,0.375
877,aprobativo,1.0
878,aprobatorio,1.0
879,apropiado,0.656
880,aprovechable,0.375
881,aprovechar,0.417
882,aprovisionador,0.25
883,aproximado,0.25
884,apráctico,-0.375
885,apráxico,-0.375
886,aptitud,0.542
887,apto,0.557
888,apuesto,0.688
889,apurar,-0.375
890,apurarse,-0.35
891,apuro,-0.25
892,apuñear,-0.375
893,apuñetear,-0.375
894,apático,-0.281
895,apátrida,0.25
896,apócope,0.25
897,apócrifo,0.25
898,apófisis_transversa,0.25
899,aquafobia,-0.375
900,aquiescencia,-0.25
901,aquí_y_allá,-0.25
902,arable,0.5
903,aracnofobia,-0.25
904,arador,-0.25
905,arar,-0.25
906,arbitrable,0.375
907,arbitrario,0.313
908,arbitrio,0.25
909,arbusto,-0.25
910,arcadiano,0.25
911,arcano,0.3125
912,arcaísta,0.25
913,archimandita,0.375
914,archimandrita,0.375
915,archivo_maestro,-0.25
916,arco_Tudor,-0.25
917,arcoiris,-0.25
918,ardentía,-0.5
919,ardiente,0.313
920,ardor_de_estómago,-0.5
921,ardores,-0.5
922,arduidad,-0.375
923,area_de_jurisdicción,0.25
924,argentífero,0.25
925,arginina,-0.25
926,argot,0.375
927,argucia,-0.458
928,argumentos_especiosos,-0.375
929,argénteo,0.375
930,aridad,0.25
931,ariete,0.25
932,arisco,-0.675
933,aristocrático,0.438
934,aristoloquiales,-0.25
935,aristotelismo,0.375
936,aritmética,0.25
937,aritméticamente,0.375
938,arlequinada,0.375
939,arma_de_fuego_portátil,-0.25
940,arma_nuclear,-0.25
941,arma_portátil,-0.25
942,armado,0.333
943,armerol,-0.25
944,arminianismo,0.25
945,armonioso,0.792
946,armonía,0.3
947,aro_de_nariz,-0.25
948,arponear,0.25
949,arqueado,0.25
950,arquitectura_paisajista,0.25
951,arracimado,0.25
952,arrapiezo,-0.25
953,arrasamiento,-0.5
954,arrebatador,0.25
955,arreflexia,-0.375
956,arreglarse_el_pelo,0.25
957,arreglo_personal,0.25
958,arrellanarse,-0.25
959,arremeter,-0.25
960,arremeter_contra,-0.5
961,arrepentido,-0.5
962,arrepentimiento,-0.375
963,arrestar,-0.25
964,arriana,-0.25
965,arriano,-0.25
966,arriar,-0.25
967,arriba,0.25
968,arriesgado,-0.25
969,arrizar,-0.625
970,arrobamiento,0.25
971,arrobar,-0.375
972,arrogancia,-0.25
973,arrogante,-0.375
974,arrojado,0.75
975,arrojar_la_toalla,-0.25
976,arrollador,0.375
977,arruinamiento,-0.5
978,arruinar,-0.319
979,arruinarse,-0.625
980,arrullo,0.25
981,arseniato_de_plomo,-0.375
982,arsina,-0.375
983,art_decó,0.25
984,arte_teatral,0.375
985,artefacto,0.375
986,arteria_alveolar_inferior,-0.375
987,arteria_cerebelosa_inferior,-0.5
988,arteria_cerebolosa_superior,0.25
989,arteria_circunfleja_ilíaca,-0.25
990,arteria_comunicante,0.25
991,arteria_intestinal,0.25
992,arteria_labial_inferior,-0.375
993,arterias_comunicantes,0.25
994,artería,-0.25
995,artes,0.375
996,artesanal,0.375
997,artesanía,0.417
998,articulación_temporomandibular,-0.375
999,articulatio_temporomandibularis,-0.375
1000,artificio,-0.375
1001,artificiosa,-0.25
1002,artralgia,-0.5
1003,artritis,-0.25
1004,artroscopia,-0.25
1005,artrálgico,-0.375
1006,artístico,0.417
1007,arácnido,0.25
1008,asa_fétida,-0.25
1009,asafétida,-0.25
1010,asaltador,-0.25
1011,asaltante,-0.375
1012,asalto,-0.25
1013,asalto_a_mano_armada,-0.25
1014,asarum,-0.375
1015,asbestosis,-0.375
1016,ascendente,0.375
1017,ascendible,0.5
1018,ascendiente,0.417
1019,ascidias,-0.25
1020,asco,-0.357
1021,ascítico,-0.25
1022,aseado,0.313
1023,asediar,-0.25
1024,asedio,-0.25
1025,asegurado,0.375
1026,asentista,0.25
1027,aseo,0.25
1028,aserrar,0.375
1029,asertividad,-0.375
1030,asesina,-0.25
1031,asesinar,-0.625
1032,asesinato,-0.625
1033,asesinato_mafioso,-0.5
1034,asesinato_público,-0.75
1035,asesinato_ritual,-0.375
1036,asesino,-0.875
1037,asesino_a_sueldo,-0.375
1038,asesino_en_serie,-0.25
1039,asesor,0.3125
1040,asesora,0.375
1041,asesoramiento,0.25
1042,asexualidad,-0.25
1043,asibilación,0.375
1044,asiento_de_palco,0.25
1045,asignado,0.25
1046,asignatura,0.25
1047,asimetría,-0.875
1048,asimilable,0.375
1049,asimilador,0.375
1050,asindético,-0.25
1051,asintomático,0.375
1052,asirse,-0.25
1053,asistencia_postoperatoria,0.25
1054,asistencia_social,0.25
1055,asistente_de_hospital,-0.25
1056,asistente_social,0.25
1057,asistido,0.375
1058,asistolia,-0.375
1059,asma,-0.25
1060,asno,-0.25
1061,asno_africano,-0.25
1062,asno_salvaje_africano,-0.25
1063,asno_salvaje_asiático,-0.25
1064,asociable,0.5
1065,asociado,0.313
1066,asolador,-0.625
1067,asolar,-0.5
1068,asomar_la_cabeza,-0.25
1069,asombrado,0.25
1070,asombro,0.375
1071,asombroso,0.333
1072,asonada,-0.375
1073,asonante,0.25
1074,asordar,0.25
1075,aspereza,-0.25
1076,aspergilosis,-0.312
1077,aspirante,0.25
1078,asqueadamente,-0.5
1079,asqueado,-0.25
1080,asquear,-0.437
1081,asquerosidad,-0.312
1082,asqueroso,-0.575
1083,astado,0.375
1084,astenia,-0.375
1085,asterión,0.25
1086,astilar,-0.375
1087,astracanada,-0.375
1088,astrafobia,-0.5
1089,astronave,0.25
1090,astuta,-0.5
1091,astuto,-0.1159999999999999
1092,asténico,-0.25
1093,asurarse,-0.375
1094,asustadizo,0.375
1095,aséptico,0.5
1096,asíduo,0.625
1097,atacante,-0.5
1098,atacar,-0.3
1099,atacar_por_sorpresa,-0.375
1100,atado,0.271
1101,ataque,-0.307
1102,ataque_al_corazón,-0.375
1103,ataque_aéreo,-0.375
1104,ataque_de_nervios,-0.875
1105,ataque_de_pánico,-0.5
1106,ataque_por_tierra,-0.25
1107,ataque_repentino,-0.5
1108,ataque_sorpresa,-0.75
1109,ataráxico,0.375
1110,ataviado,0.25
1111,ataviarse,0.417
1112,ataxia,-0.375
1113,atañer,-0.25
1114,atelectasia,-0.25
1115,atemperación,-0.25
1116,atemperar,0.25
1117,atencional,-0.25
1118,atención_de_enfermería,0.375
1119,atendido,0.25
1120,atento,0.341
1121,atenuante,0.25
1122,aterrador,-0.5
1123,aterrorizado,-0.25
1124,atesarse,-0.25
1125,atestado,0.375
1126,atezado,-0.625
1127,atildar,0.25
1128,atirantarse,-0.25
1129,atisbadero,-0.25
1130,atlas_lingüístico,0.25
1131,atlético,0.25
1132,atolladero,-0.5
1133,atonal,0.25
1134,atonía,-0.625
1135,atorar,0.25
1136,atormentado,-0.437
